date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:39	144/144	---M-Z	200	added ('OK')	text/plain	etag:%22ff849e6990c0d61:0%22	https://medical.alsehha.gov.sa/robots.txt		(from )
19:27:39	4563/4563	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2016:27:38%20GMT	https://medical.alsehha.gov.sa/	C:/Users/abood/Desktop/TALAL%20pr/medical.alsehha.gov.sa/index.html	(from )
19:27:39	1127/1127	---M--	200	added ('OK')	image/png	etag:%22973b906990c0d61:0%22	https://medical.alsehha.gov.sa/images/favicon-16x16.png	C:/Users/abood/Desktop/TALAL%20pr/medical.alsehha.gov.sa/images/favicon-16x16.png	(from https://medical.alsehha.gov.sa/)
19:27:40	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22bb4866990c0d61:0%22	https://medical.alsehha.gov.sa/css/font-awesome.min.css	C:/Users/abood/Desktop/TALAL%20pr/medical.alsehha.gov.sa/css/font-awesome.min.css	(from https://medical.alsehha.gov.sa/)
19:27:40	157292/157292	---M-Z	200	added ('OK')	text/css	etag:%22bb4866990c0d61:0%22	https://medical.alsehha.gov.sa/css/bootstrap-rtl.css	C:/Users/abood/Desktop/TALAL%20pr/medical.alsehha.gov.sa/css/bootstrap-rtl.css	(from https://medical.alsehha.gov.sa/)
19:27:41	6355/6355	---M-Z	200	added ('OK')	text/css	etag:%22c215896990c0d61:0%22	https://medical.alsehha.gov.sa/css/style.css	C:/Users/abood/Desktop/TALAL%20pr/medical.alsehha.gov.sa/css/style.css	(from https://medical.alsehha.gov.sa/)
19:27:41	10525/10525	---M-Z	200	added ('OK')	text/css	etag:%22bb4866990c0d61:0%22	https://medical.alsehha.gov.sa/css/ck-theme-dark.css	C:/Users/abood/Desktop/TALAL%20pr/medical.alsehha.gov.sa/css/ck-theme-dark.css	(from https://medical.alsehha.gov.sa/)
19:27:41	5239/5239	---M-Z	200	added ('OK')	text/css	etag:%22bb4866990c0d61:0%22	https://medical.alsehha.gov.sa/css/ck-language-arabic.css	C:/Users/abood/Desktop/TALAL%20pr/medical.alsehha.gov.sa/css/ck-language-arabic.css	(from https://medical.alsehha.gov.sa/)
19:27:42	7213/7213	---M--	200	added ('OK')	image/png	etag:%22973b906990c0d61:0%22	https://medical.alsehha.gov.sa/images/logo-light.png	C:/Users/abood/Desktop/TALAL%20pr/medical.alsehha.gov.sa/images/logo-light.png	(from https://medical.alsehha.gov.sa/)
19:27:42	65528/65528	---M--	200	added ('OK')	image/png	etag:%22973b906990c0d61:0%22	https://medical.alsehha.gov.sa/images/medical-records.png	C:/Users/abood/Desktop/TALAL%20pr/medical.alsehha.gov.sa/images/medical-records.png	(from https://medical.alsehha.gov.sa/)
19:27:43	24369/24369	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2016:27:42%20GMT	https://medical.alsehha.gov.sa/create	C:/Users/abood/Desktop/TALAL%20pr/medical.alsehha.gov.sa/create.html	(from https://medical.alsehha.gov.sa/)
19:27:43	40966/40966	---M--	200	added ('OK')	image/png	etag:%22973b906990c0d61:0%22	https://medical.alsehha.gov.sa/images/icon-medical-records.png	C:/Users/abood/Desktop/TALAL%20pr/medical.alsehha.gov.sa/images/icon-medical-records.png	(from https://medical.alsehha.gov.sa/)
19:27:44	8746/8746	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2016:27:43%20GMT	https://medical.alsehha.gov.sa/check	C:/Users/abood/Desktop/TALAL%20pr/medical.alsehha.gov.sa/check.html	(from https://medical.alsehha.gov.sa/)
19:27:44	15571/15571	---M--	200	added ('OK')	image/png	etag:%22973b906990c0d61:0%22	https://medical.alsehha.gov.sa/images/search.png	C:/Users/abood/Desktop/TALAL%20pr/medical.alsehha.gov.sa/images/search.png	(from https://medical.alsehha.gov.sa/)
